Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Time for CoinGen,Time for Sharing Data,Time for Paying and Rating,Time for Banking in Coins,Total time
1,1,1,1,87,72,118,69,347
10,1,1,1,787,55,119,59,1021
20,1,1,1,1404,53,109,59,1627
30,1,1,1,2132,53,112,56,2354
40,1,1,1,2538,54,105,53,2751
50,1,1,1,3026,51,101,53,3233
60,1,1,1,3954,58,108,56,4178
70,1,1,1,4996,51,100,51,5199
80,1,1,1,4670,56,110,51,4888
90,1,1,1,5333,54,114,59,5560
100,1,1,1,5908,58,108,48,6123
110,1,1,1,6484,58,107,49,6701
120,1,1,1,7118,49,117,50,7335
130,1,1,1,7714,51,117,52,7937
140,1,1,1,8403,52,119,53,8628
150,1,1,1,9064,47,117,47,9277
