Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Time for CoinGen,Time for Sharing Data,Time for Paying and Rating,Time for Banking in Coins,Total time
1,1,1,1,94,68,118,72,354
1,10,1,1,215,57,120,59,452
1,20,1,1,351,55,113,58,577
1,30,1,1,481,56,124,54,717
1,40,1,1,617,55,108,54,836
1,50,1,1,748,56,107,58,970
1,60,1,1,883,55,107,55,1103
1,70,1,1,1013,51,105,52,1223
1,80,1,1,1144,50,116,51,1363
1,90,1,1,1284,48,106,52,1492
1,100,1,1,1428,52,111,56,1649
1,110,1,1,1595,52,122,60,1831
1,120,1,1,1736,50,114,51,1952
1,130,1,1,1860,52,119,51,2083
1,140,1,1,2017,51,125,52,2247
1,150,1,1,2166,48,122,51,2389
