Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Time for CoinGen,Time for Sharing Data,Time for Paying and Rating,Time for Banking in Coins,Total time
1,1,1,1,88,64,117,67,337
1,10,1,10,210,54,144,225,635
1,20,1,20,342,55,154,390,941
1,30,1,30,473,55,169,534,1233
1,40,1,40,602,56,187,696,1542
1,50,1,50,741,51,211,836,1841
1,60,1,60,873,57,234,973,2139
1,70,1,70,1008,67,286,1139,2501
1,80,1,80,1137,52,280,1258,2728
1,90,1,90,1274,51,310,1430,3067
1,100,1,100,1401,49,340,1573,3364
1,110,1,110,1536,48,387,1780,3753
1,120,1,120,1691,46,435,1940,4113
1,130,1,130,1840,48,483,2143,4515
1,140,1,140,1991,48,536,2370,4947
1,150,1,150,2142,50,575,2591,5360
