Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Time for CoinGen,Time for Sharing Data,Time for Paying and Rating,Time for Banking in Coins,Total time
1,1,1,1,98,70,117,66,353
1,10,10,1,211,321,909,359,1802
1,20,20,1,344,544,1636,629,3154
1,30,30,1,472,769,2389,914,4546
1,40,40,1,607,994,2858,1207,5667
1,50,50,1,743,1138,3422,1402,6705
1,60,60,1,881,1334,4110,1691,8018
1,70,70,1,1011,1537,4738,1978,9265
1,80,80,1,1153,1704,5391,2268,10518
1,90,90,1,1287,1929,6168,2583,11968
1,100,100,1,1436,2123,6877,2903,13340
1,110,110,1,1577,2322,7657,3142,14699
1,120,120,1,1723,2515,8443,3468,16150
1,130,130,1,1857,2760,9185,3844,17648
1,140,140,1,2020,3008,9924,4291,19245
1,150,150,1,2173,3155,10886,4719,20934
