Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Time for CoinGen,Time for Sharing Data,Time for Paying and Rating,Time for Banking in Coins,Total time
1,1,1,1,124,41,34,30,230
10,1,1,1,1150,41,41,30,1262
20,1,1,1,2213,42,38,35,2330
30,1,1,1,3169,43,31,32,3276
40,1,1,1,3905,38,29,28,4001
50,1,1,1,4678,37,31,28,4776
60,1,1,1,5392,38,28,27,5486
70,1,1,1,6356,37,28,27,6450
80,1,1,1,7120,37,29,34,7222
90,1,1,1,7922,40,28,26,8018
100,1,1,1,9005,36,29,27,9098
110,1,1,1,9589,36,29,26,9681
120,1,1,1,10384,36,29,27,10477
130,1,1,1,11263,37,28,26,11356
140,1,1,1,12139,39,28,27,12234
150,1,1,1,13605,35,27,27,13696
