Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Time for CoinGen,Time for Sharing Data,Time for Paying and Rating,Time for Banking in Coins,Total time
1,1,1,1,122,40,33,30,226
1,10,1,1,231,38,35,30,336
1,20,1,1,346,39,34,29,449
1,30,1,1,448,41,32,30,553
1,40,1,1,564,39,32,29,665
1,50,1,1,672,38,32,28,771
1,60,1,1,782,37,32,30,883
1,70,1,1,891,39,32,30,994
1,80,1,1,1011,42,35,38,1127
1,90,1,1,1134,44,34,31,1243
1,100,1,1,1239,37,32,31,1340
1,110,1,1,1352,37,31,30,1452
1,120,1,1,1465,36,32,30,1564
1,130,1,1,1578,38,31,29,1678
1,140,1,1,1697,40,30,37,1806
1,150,1,1,1863,35,30,28,1958
