Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Time for CoinGen,Time for Sharing Data,Time for Paying and Rating,Time for Banking in Coins,Total time
1,1,1,1,125,96,195,86,503
1,10,1,10,234,96,235,254,821
1,20,1,20,351,97,259,446,1154
1,30,1,30,465,88,266,615,1435
1,40,1,40,579,93,304,753,1730
1,50,1,50,708,91,313,933,2047
1,60,1,60,804,98,368,998,2269
1,70,1,70,913,96,399,1128,2538
1,80,1,80,1021,88,410,1300,2820
1,90,1,90,1142,86,435,1447,3112
1,100,1,100,1264,93,460,1590,3409
1,110,1,110,1362,83,508,1776,3730
1,120,1,120,1478,80,543,1979,4081
1,130,1,130,1619,90,609,2159,4479
1,140,1,140,1747,83,662,2357,4851
1,150,1,150,1865,87,716,2557,5227
