Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Time for CoinGen,Time for Sharing Data,Time for Paying and Rating,Time for Banking in Coins,Total time
1,1,1,1,124,102,206,87,522
1,10,10,1,242,609,1636,484,2972
1,20,20,1,349,1043,3055,875,5324
1,30,30,1,459,1471,4086,1249,7266
1,40,40,1,572,1774,4946,1570,8863
1,50,50,1,695,2138,6018,1934,10787
1,60,60,1,796,2513,7195,2542,13048
1,70,70,1,926,3094,8827,2815,15663
1,80,80,1,1047,3227,9455,2999,16731
1,90,90,1,1145,3636,10716,3396,18894
1,100,100,1,1267,3963,11974,3810,21016
1,110,110,1,1391,4487,13292,4187,23359
1,120,120,1,1516,4776,14859,4670,25822
1,130,130,1,1625,5254,16006,5164,28051
1,140,140,1,1767,5534,17223,5771,30296
1,150,150,1,1892,5900,18457,6198,32447
