Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Zeit der Coin Generierungsphase,Zeit des Teilens und Hochlands von Daten,Zeit der Bezahlung und Bewertung,Zeit für das Einlösen von Coins,Total time
1,1,1,1,138,128,237,96,601
1,1,1,1,135,126,235,104,601
1,1,1,1,143,116,225,100,585
1,1,1,1,135,115,227,93,571
1,1,1,1,136,114,221,97,570
1,1,1,1,138,114,243,102,598
1,1,1,1,165,142,257,123,688
1,1,1,1,148,114,227,96,586
1,1,1,1,135,110,224,96,567
1,1,1,1,143,134,236,97,611
1,1,1,1,130,120,226,92,570
1,1,1,1,131,115,221,89,558
1,1,1,1,128,116,221,89,557
1,1,1,1,127,121,223,93,566
1,1,1,1,146,114,230,105,596
1,1,1,1,130,112,227,97,566
1,1,1,1,130,104,217,95,548
1,1,1,1,132,111,225,96,564
1,1,1,1,131,113,227,93,566
1,1,1,1,128,106,218,89,543
1,1,1,1,130,132,254,89,607
1,1,1,1,127,106,260,89,584
1,1,1,1,125,121,223,108,577
1,1,1,1,129,115,217,91,554
1,1,1,1,130,105,222,89,547
1,1,1,1,118,109,212,86,528
1,1,1,1,122,102,209,85,520
1,1,1,1,127,103,213,86,531
1,1,1,1,121,113,228,91,554
1,1,1,1,129,106,209,85,530
