Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Zeit der Coin Generierungsphase,Zeit des Teilens und Hochlands von Daten,Zeit der Bezahlung und Bewertung,Zeit für das Einlösen von Coins,Total time
1,1,1,1,117,99,193,77,489
1,1,1,1,108,100,199,81,489
1,1,1,1,114,94,186,76,471
1,1,1,1,103,98,185,75,463
1,1,1,1,106,90,179,73,449
1,1,1,1,103,89,179,71,444
1,1,1,1,102,95,186,82,467
1,1,1,1,101,89,192,78,462
1,1,1,1,103,89,187,72,453
1,1,1,1,101,93,180,72,447
1,1,1,1,102,102,177,72,455
1,1,1,1,99,85,183,72,441
1,1,1,1,98,85,169,73,427
1,1,1,1,107,99,175,74,456
1,1,1,1,104,84,181,85,456
1,1,1,1,99,88,171,69,428
1,1,1,1,103,84,182,70,440
1,1,1,1,100,92,171,70,434
1,1,1,1,98,83,171,69,422
1,1,1,1,97,88,169,68,423
1,1,1,1,100,89,208,72,471
1,1,1,1,97,86,231,87,502
1,1,1,1,102,101,187,75,467
1,1,1,1,101,88,179,81,451
1,1,1,1,115,89,185,73,463
1,1,1,1,96,82,165,69,414
1,1,1,1,105,89,173,70,438
1,1,1,1,99,81,161,68,411
1,1,1,1,93,80,188,71,434
1,1,1,1,96,81,163,70,410
1,1,1,1,103,81,169,94,449
1,1,1,1,105,82,155,67,410
1,1,1,1,92,78,160,70,402
1,1,1,1,91,84,159,102,438
1,1,1,1,90,79,159,71,401
1,1,1,1,95,80,163,66,405
1,1,1,1,90,78,152,65,388
1,1,1,1,91,79,153,65,391
1,1,1,1,89,83,153,66,394
1,1,1,1,100,85,153,66,405
1,1,1,1,89,76,154,70,391
1,1,1,1,99,82,172,71,426
1,1,1,1,88,75,152,63,379
1,1,1,1,88,85,156,65,395
1,1,1,1,86,76,153,62,379
1,1,1,1,91,77,165,63,398
1,1,1,1,92,76,151,89,410
1,1,1,1,105,83,169,80,439
1,1,1,1,104,94,181,70,451
1,1,1,1,96,78,164,63,402
