Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Zeit der Coin Generierungsphase,Zeit des Teilens und Hochlands von Daten,Zeit der Bezahlung und Bewertung,Zeit für das Einlösen von Coins,Total time
1,1,1,1,112,102,104,81,400
1,1,1,1,120,94,103,75,395
1,1,1,1,112,93,104,81,391
1,1,1,1,109,90,111,75,387
1,1,1,1,101,89,102,73,367
1,1,1,1,104,91,103,72,372
1,1,1,1,103,95,102,73,374
1,1,1,1,98,91,99,73,363
1,1,1,1,105,85,106,72,369
1,1,1,1,102,86,120,81,391
1,1,1,1,100,92,100,77,370
1,1,1,1,102,87,104,76,371
1,1,1,1,99,93,101,69,364
1,1,1,1,105,86,99,70,362
1,1,1,1,97,89,100,79,367
1,1,1,1,95,83,100,73,353
1,1,1,1,98,87,95,76,358
1,1,1,1,101,84,96,69,352
1,1,1,1,98,83,110,73,365
1,1,1,1,95,83,96,70,346
1,1,1,1,106,97,99,68,372
1,1,1,1,96,95,103,70,365
1,1,1,1,98,93,94,68,354
1,1,1,1,96,82,103,75,357
1,1,1,1,103,86,96,69,357
1,1,1,1,91,78,95,74,339
1,1,1,1,94,83,92,68,338
1,1,1,1,96,82,97,73,351
1,1,1,1,103,89,121,71,386
1,1,1,1,92,80,97,69,339
1,1,1,1,97,84,101,122,405
1,1,1,1,111,98,89,65,365
1,1,1,1,91,78,92,69,331
1,1,1,1,92,81,97,115,387
1,1,1,1,90,80,91,65,329
1,1,1,1,94,77,95,66,335
1,1,1,1,91,82,89,66,329
1,1,1,1,95,82,89,65,333
1,1,1,1,93,84,92,68,339
1,1,1,1,94,82,92,66,336
1,1,1,1,90,95,91,70,347
1,1,1,1,99,80,107,70,357
1,1,1,1,89,76,88,65,320
1,1,1,1,93,85,88,67,335
1,1,1,1,90,75,87,64,318
1,1,1,1,93,77,89,64,324
1,1,1,1,97,75,89,81,343
1,1,1,1,100,75,86,71,334
1,1,1,1,92,78,91,64,327
1,1,1,1,95,76,99,65,336
