Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Zeit der Coin Generierungsphase,Zeit des Teilens und Hochlands von Daten,Zeit der Bezahlung und Bewertung,Zeit für das Einlösen von Coins,Total time
1,1,1,1,115,114,183,84,497
1,1,1,1,113,97,150,82,443
1,1,1,1,119,109,163,82,474
1,1,1,1,117,104,164,90,477
1,1,1,1,107,94,152,75,430
1,1,1,1,111,90,168,80,451
1,1,1,1,116,88,150,78,434
1,1,1,1,102,93,174,72,442
1,1,1,1,113,107,155,74,450
1,1,1,1,104,91,147,77,420
1,1,1,1,102,101,145,71,420
1,1,1,1,99,87,139,78,404
1,1,1,1,101,85,139,71,398
1,1,1,1,99,88,144,71,403
1,1,1,1,100,92,141,78,413
1,1,1,1,98,86,145,81,411
1,1,1,1,115,94,137,71,418
1,1,1,1,98,91,145,71,407
1,1,1,1,100,84,137,72,393
1,1,1,1,104,83,146,72,406
1,1,1,1,100,92,137,72,403
1,1,1,1,96,86,135,69,388
1,1,1,1,97,107,132,75,414
1,1,1,1,96,80,136,76,389
1,1,1,1,109,83,217,72,482
1,1,1,1,92,79,129,70,372
1,1,1,1,95,85,145,67,393
1,1,1,1,98,91,133,70,394
1,1,1,1,97,82,125,67,372
1,1,1,1,100,84,137,70,392
1,1,1,1,94,84,147,88,414
1,1,1,1,101,79,129,66,378
1,1,1,1,92,84,129,69,376
1,1,1,1,90,79,129,115,414
1,1,1,1,90,79,127,67,364
1,1,1,1,94,78,143,66,383
1,1,1,1,98,77,123,65,365
1,1,1,1,89,81,129,64,364
1,1,1,1,93,75,123,63,356
1,1,1,1,93,76,126,66,362
1,1,1,1,91,82,129,67,371
1,1,1,1,101,79,138,71,390
1,1,1,1,90,74,123,62,350
1,1,1,1,87,75,127,76,367
1,1,1,1,86,75,124,62,348
1,1,1,1,92,74,123,63,354
1,1,1,1,94,75,126,79,375
1,1,1,1,101,79,124,63,368
1,1,1,1,91,75,126,64,357
1,1,1,1,92,80,124,63,361
