Number of CoinGenerationTokens,Number of Coins in CoinGenerationToken,Number of ShareDataRequests,Number of Coins for paying,Zeit der Coin Generierungsphase,Zeit des Teilens und Hochlands von Daten,Zeit der Bezahlung und Bewertung,Zeit für das Einlösen von Coins,Total time
1,1,1,1,271,813,703,251,2038
1,1,1,1,262,785,691,240,1979
1,1,1,1,251,619,710,233,1815
1,1,1,1,242,616,687,213,1759
1,1,1,1,242,420,695,215,1573
1,1,1,1,249,619,684,236,1789
1,1,1,1,243,621,696,222,1782
1,1,1,1,238,779,686,232,1937
1,1,1,1,250,782,702,236,1972
1,1,1,1,237,782,698,222,1940
1,1,1,1,246,776,694,234,1951
1,1,1,1,248,795,692,241,1978
1,1,1,1,236,776,682,231,1927
1,1,1,1,254,794,707,212,1969
1,1,1,1,248,611,687,245,1792
1,1,1,1,244,619,684,231,1779
1,1,1,1,244,618,694,239,1797
1,1,1,1,239,614,692,213,1759
1,1,1,1,238,404,678,233,1555
1,1,1,1,236,614,682,210,1744
1,1,1,1,240,621,738,232,1833
1,1,1,1,233,613,705,229,1782
1,1,1,1,240,613,681,232,1767
1,1,1,1,230,606,676,209,1722
1,1,1,1,237,624,686,214,1763
1,1,1,1,232,609,669,229,1741
1,1,1,1,232,619,683,210,1746
1,1,1,1,237,615,709,236,1799
1,1,1,1,232,608,709,209,1760
1,1,1,1,235,633,683,232,1784
1,1,1,1,235,611,676,225,1748
1,1,1,1,235,613,673,228,1751
1,1,1,1,234,611,669,228,1743
1,1,1,1,232,605,676,247,1762
1,1,1,1,234,622,691,231,1780
1,1,1,1,236,613,668,230,1749
1,1,1,1,234,607,673,206,1721
1,1,1,1,229,659,673,230,1792
1,1,1,1,232,606,676,236,1752
1,1,1,1,234,614,670,219,1738
1,1,1,1,234,604,665,230,1735
1,1,1,1,250,606,673,244,1775
1,1,1,1,230,623,716,245,1815
1,1,1,1,232,633,689,223,1779
1,1,1,1,255,636,695,213,1801
1,1,1,1,231,611,676,228,1747
1,1,1,1,234,605,676,243,1759
1,1,1,1,232,608,668,204,1714
1,1,1,1,235,603,668,232,1739
1,1,1,1,233,614,670,225,1743

